mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_decay,param_n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.5966312885284424,0.06973902384440105,-4893507.333894337,-9200015.461454103,0.8,3,"{'learning_decay': 0.8, 'n_components': 3}",13,-5231487.567433852,-8807292.732327335,-4045085.393985888,-10040479.77896988,-5418962.031627063,-8752273.873065094,0.12444316384723937,0.009608107882458186,609060.2365522903,594722.3276351049
2.0358235836029053,0.08522264162699382,-4888795.460539228,-9152224.237390878,0.8,4,"{'learning_decay': 0.8, 'n_components': 4}",9,-5248657.1352540795,-8773716.304301469,-4037083.931241395,-9980860.654673873,-5395111.487315831,-8702095.753197294,0.06947722510297098,0.0037669070412538366,609524.2047109749,586663.5093877999
2.2116883595784507,0.09866937001546223,-4894198.423203066,-9107594.362430701,0.8,5,"{'learning_decay': 0.8, 'n_components': 5}",14,-5247388.565187581,-8708319.57398841,-4060333.327089494,-9928652.535789875,-5389010.875982977,-8685810.97751382,0.06698896331345175,0.004590465845247078,596682.6399931017,580648.5180432544
2.401783068974813,0.11919164657592773,-4911982.384436105,-9049857.919619767,0.8,7,"{'learning_decay': 0.8, 'n_components': 7}",27,-5270359.02664372,-8618811.686721582,-4070805.192061066,-9883990.147859156,-5408982.950784925,-8646771.924278561,0.05252854912931713,0.007483189428698914,601750.4607805128,589930.9984293461
2.4886906147003174,0.12242913246154785,-4911047.008161805,-9041390.608390586,0.8,8,"{'learning_decay': 0.8, 'n_components': 8}",25,-5261383.696841826,-8617489.205753535,-4080616.236769943,-9883162.070212178,-5405261.505071054,-8623520.549206048,0.0991138944975268,0.006581742049614034,594338.0132657669,595227.4017711796
2.552575667699178,0.13625582059224448,-4912728.935939964,-9028149.993728554,0.8,9,"{'learning_decay': 0.8, 'n_components': 9}",28,-5267407.1505177105,-8591501.943117775,-4084294.2270502807,-9853316.746386254,-5400419.444790489,-8639631.29168163,0.06702799255514943,0.004775859922584453,592502.4642921797,583811.7480929601
2.6017582416534424,0.1411449114481608,-4928405.7570536425,-9006176.46573775,0.8,10,"{'learning_decay': 0.8, 'n_components': 10}",36,-5299221.028162681,-8562003.492461115,-4091187.935792737,-9837014.43808683,-5408526.0292688,-8619511.466665307,0.056936885165174714,0.008064857187395245,597935.9028734165,587960.0859452478
2.9088477293650308,0.16576004028320312,-4973466.639705293,-8966767.579219596,0.8,15,"{'learning_decay': 0.8, 'n_components': 15}",48,-5333081.772831985,-8506519.151614135,-4130555.2046121536,-9813253.515583467,-5470977.538788401,-8580530.070461191,0.08150615413185104,0.004606264340096042,602952.4858375437,599318.0760239138
3.6272530555725098,0.21389285723368326,-5029241.824388766,-8933769.045561032,0.8,25,"{'learning_decay': 0.8, 'n_components': 25}",53,-5426296.652009749,-8454668.01154108,-4198804.861865373,-9783041.437264564,-5475370.492670658,-8563597.68787745,0.12440901900196255,0.009515453116935132,591784.944897137,602170.5821880625
4.230817476908366,0.24163158734639487,-5079240.697353917,-8938680.213252723,0.8,35,"{'learning_decay': 0.8, 'n_components': 35}",60,-5459122.380424033,-8477130.503724527,-4243477.300119306,-9774802.451533616,-5548530.697229133,-8564107.684500027,0.12656469364455666,0.01483022745666307,596353.4603074064,592293.033053066
4.563705046971639,0.2507143020629883,-5083843.645128827,-8931197.527183458,0.8,40,"{'learning_decay': 0.8, 'n_components': 40}",61,-5499237.495263981,-8449053.27610398,-4236384.8454053365,-9777771.89032801,-5528616.387352113,-8566767.415118381,0.14309316965238336,0.011358468151327444,603689.1497779819,600544.3468949258
7.660484234491984,0.396379550298055,-5134109.12758268,-8939660.134625198,0.8,50,"{'learning_decay': 0.8, 'n_components': 50}",71,-5539766.496423913,-8438357.249914065,-4291863.831306263,-9801089.25380317,-5583537.8764130175,-8579533.90015836,0.4033020964876418,0.03742978891660352,600122.2408263352,611843.0120923456
